Height,Age,Income,RomanticGestureScore,CompatibilityScore,CommunicationScore,DistanceKM,Response,AgeCategory
154,75,17069,9,6,9,23,0,Senior
150,40,5981,7,8,8,57,1,Middle-aged
150,37,15668,5,1,9,57,1,Middle-aged
168,66,7088,10,7,9,15,1,Senior
179,25,7952,9,4,0,64,1,Young
151,76,14203,10,9,2,7,0,Senior
170,48,16656,2,8,6,20,0,Middle-aged
161,38,15942,8,7,0,64,1,Middle-aged
175,52,7126,10,2,4,19,1,Senior
155,20,9812,10,2,5,6,1,
172,64,13063,3,9,2,51,1,Senior
153,22,8861,2,7,5,39,0,Young
172,61,10903,6,8,3,65,1,Senior
160,40,7591,7,1,5,71,1,Middle-aged
173,54,14665,6,2,5,99,0,Senior
176,60,15713,0,7,3,25,0,Senior
166,59,14357,0,1,0,23,0,Senior
180,22,8322,4,7,2,89,1,Young
155,44,11437,7,4,9,58,1,Middle-aged
173,64,13801,9,5,6,11,1,Senior
154,57,15375,10,9,1,34,0,Senior
169,64,15723,2,3,3,31,0,Senior
151,74,19100,7,2,5,38,1,Senior
155,39,18623,2,7,4,46,1,Middle-aged
171,71,7861,3,8,5,12,0,Senior
160,63,17842,9,7,4,9,0,Senior
180,64,6655,6,8,8,13,1,Senior
165,53,6755,2,0,1,64,0,Senior
165,40,13237,3,4,3,20,0,Middle-aged
150,75,14451,7,6,0,59,1,Senior
158,74,18359,3,7,6,85,1,Senior
177,67,19533,8,1,0,22,0,Senior
176,42,11227,3,3,5,65,1,Middle-aged
155,25,9638,3,6,9,60,0,Young
165,70,16424,4,4,9,41,0,Senior
178,72,14643,0,0,8,81,0,Senior
152,32,15310,6,1,1,45,1,Middle-aged
169,68,7567,8,4,0,4,1,Senior
177,42,15184,8,5,9,70,0,Middle-aged
176,28,18200,0,0,2,45,0,Young
153,36,8123,5,2,5,58,0,Middle-aged
168,80,10164,2,5,6,83,0,Senior
175,21,15532,3,5,7,94,1,Young
152,38,12081,7,6,3,23,1,Middle-aged
180,38,9907,3,9,7,32,0,Middle-aged
168,75,14680,7,2,6,63,1,Senior
169,26,19196,3,0,7,93,1,Young
156,73,14765,8,6,4,8,0,Senior
169,61,9962,5,2,9,85,0,Senior
158,61,15619,0,4,6,81,0,Senior
150,78,12150,9,3,3,81,1,Senior
157,39,6766,1,0,0,85,1,Middle-aged
156,28,8549,6,6,2,79,1,Young
167,36,7309,9,3,9,91,0,Middle-aged
157,46,17867,6,0,8,25,0,Middle-aged
150,66,15596,2,5,3,33,1,Senior
160,21,14634,0,3,4,66,1,Young
177,55,17985,7,3,2,16,1,Senior
174,38,6976,9,1,5,55,1,Middle-aged
174,36,17165,10,0,3,36,0,Middle-aged
167,24,12180,10,2,4,72,0,Young
172,58,7490,9,9,6,80,1,Senior
180,37,13917,6,4,6,7,1,Middle-aged
179,72,16995,9,8,8,69,0,Senior
159,73,9381,7,6,1,87,0,Senior
152,78,17019,0,3,3,8,0,Senior
156,26,10987,2,7,7,3,1,Young
177,36,12425,1,3,3,35,1,Middle-aged
165,58,17857,0,5,2,36,1,Senior
175,55,8619,4,0,9,79,0,Senior
165,59,16079,2,5,5,30,0,Senior
174,64,11060,9,9,2,15,0,Senior
169,23,18801,7,4,1,93,0,Young
177,57,13689,5,1,8,68,1,Senior
166,44,8976,9,0,2,98,0,Middle-aged
151,24,19205,8,5,0,87,0,Young
150,49,5704,8,1,8,58,1,Middle-aged
165,31,10452,10,8,4,99,0,Middle-aged
179,23,17849,5,8,6,28,1,Young
161,43,11094,1,0,1,95,0,Middle-aged
154,48,17319,8,4,0,42,1,Middle-aged
154,28,8681,1,7,5,97,1,Young
176,23,9138,2,3,4,18,0,Young
172,70,6916,5,2,9,5,0,Senior
158,43,14566,1,4,5,9,0,Middle-aged
158,33,12501,4,4,1,84,0,Middle-aged
152,24,6845,1,7,6,9,0,Young
168,37,9654,3,5,0,18,1,Middle-aged
165,61,11413,10,1,7,56,0,Senior
165,76,13111,10,0,6,15,0,Senior
152,38,12990,2,2,6,79,0,Middle-aged
169,31,14628,4,1,5,78,1,Middle-aged
173,37,18230,5,3,9,62,1,Middle-aged
171,36,18886,6,2,4,35,0,Middle-aged
173,49,8090,9,8,8,40,0,Middle-aged
150,43,6370,7,4,2,51,0,Middle-aged
173,30,6928,8,3,8,60,0,Young
169,54,6636,3,9,4,56,1,Senior
160,42,11180,3,8,7,84,0,Middle-aged
166,36,13283,6,3,2,75,1,Middle-aged
157,20,6843,9,5,6,41,0,
153,34,13376,9,9,9,54,1,Middle-aged
155,51,18015,10,0,3,17,0,Senior
157,79,18339,8,1,4,25,1,Senior
169,28,14763,10,3,3,93,1,Young
179,34,19707,1,8,8,87,1,Middle-aged
152,47,5831,10,5,6,9,1,Middle-aged
165,43,17632,5,5,5,56,0,Middle-aged
179,79,10538,9,8,5,89,0,Senior
174,80,10315,9,3,9,23,1,Senior
152,54,15317,7,2,6,2,1,Senior
174,41,17454,4,6,4,45,0,Middle-aged
178,46,13455,4,6,9,65,1,Middle-aged
167,38,18783,7,8,2,38,1,Middle-aged
163,64,10327,0,5,2,6,0,Senior
167,31,6286,5,1,6,48,0,Middle-aged
151,39,6529,9,5,9,44,0,Middle-aged
171,20,15000,8,7,0,79,0,
152,40,11655,5,5,3,7,1,Middle-aged
165,68,6877,6,8,9,66,0,Senior
178,64,14941,3,3,7,62,1,Senior
158,20,15101,9,2,3,30,1,
153,29,15815,0,4,0,93,1,Young
150,66,10431,8,2,4,76,1,Senior
153,78,14389,5,1,0,52,1,Senior
150,78,7478,2,1,8,98,1,Senior
163,51,18055,3,3,7,94,0,Senior
170,58,15702,9,2,6,36,0,Senior
165,79,5100,5,8,4,35,1,Senior
169,41,8087,5,6,3,66,0,Middle-aged
173,37,10828,8,5,6,50,0,Middle-aged
157,67,12425,3,9,2,3,0,Senior
156,65,15111,4,7,7,76,0,Senior
152,51,7291,4,8,4,4,1,Senior
166,46,10467,2,2,4,55,0,Middle-aged
150,47,16512,1,9,0,52,0,Middle-aged
165,37,13296,7,6,9,59,1,Middle-aged
161,78,5693,9,8,7,71,1,Senior
176,58,10786,8,0,6,20,1,Senior
168,68,10406,9,9,0,19,0,Senior
171,48,16432,10,8,3,8,0,Middle-aged
172,37,8491,8,6,3,67,0,Middle-aged
171,63,18358,4,9,8,27,1,Senior
163,27,18354,10,3,9,79,1,Young
179,73,8392,8,5,1,8,1,Senior
155,50,18105,3,5,3,18,1,Middle-aged
155,53,7268,1,5,9,29,0,Senior
162,26,10632,2,1,2,46,0,Young
168,55,8783,0,4,9,36,1,Senior
171,37,16704,4,6,4,3,1,Middle-aged
157,79,19479,0,5,6,9,0,Senior
176,57,14081,10,2,4,10,0,Senior
176,78,10973,0,4,4,84,1,Senior
151,28,10969,10,7,3,66,1,Young
170,78,13981,10,4,8,1,0,Senior
179,28,9648,6,9,5,91,1,Young
150,65,9939,1,2,9,4,0,Senior
177,27,13850,7,8,5,48,1,Young
164,70,13024,5,2,5,96,0,Senior
150,54,12857,3,1,5,18,1,Senior
154,37,6018,8,5,0,78,1,Middle-aged
177,24,6953,9,7,5,45,1,Young
178,33,14382,7,5,3,15,0,Middle-aged
165,47,16898,9,0,1,51,1,Middle-aged
168,49,8657,2,7,5,61,0,Middle-aged
153,23,9846,2,0,0,4,0,Young
152,58,7296,3,8,0,19,0,Senior
166,39,5774,8,7,4,88,1,Middle-aged
166,44,7811,8,5,5,94,0,Middle-aged
161,47,14572,4,1,1,77,0,Middle-aged
177,31,8182,8,8,9,11,0,Middle-aged
179,21,17979,5,7,7,28,0,Young
178,62,12867,7,3,3,57,1,Senior
163,33,18006,10,1,3,75,1,Middle-aged
170,41,9329,7,5,9,54,0,Middle-aged
155,50,11167,9,0,4,65,1,Middle-aged
152,42,8097,6,6,9,47,1,Middle-aged
177,67,6404,3,0,3,4,1,Senior
158,39,16993,3,5,4,34,1,Middle-aged
154,80,10101,5,4,9,76,0,Senior
173,57,6369,8,9,2,54,1,Senior
178,74,10497,6,2,7,88,0,Senior
166,23,11665,4,5,5,61,1,Young
163,34,7064,4,3,7,96,1,Middle-aged
170,43,15484,7,5,4,83,0,Middle-aged
180,44,7765,5,3,6,93,0,Middle-aged
152,20,7817,0,0,9,93,0,
177,26,12791,0,4,6,83,0,Young
150,76,5716,8,7,5,20,1,Senior
169,50,18850,7,5,9,3,0,Middle-aged
180,31,9040,5,9,3,40,0,Middle-aged
178,61,6711,0,8,5,69,1,Senior
170,24,14417,1,3,8,23,1,Young
172,63,10367,9,9,3,69,1,Senior
150,69,11261,2,8,5,94,0,Senior
152,61,5008,9,7,5,32,1,Senior
167,57,13789,2,2,2,24,0,Senior
174,79,9118,1,5,3,51,0,Senior
159,31,11086,1,3,2,58,0,Middle-aged
180,58,11383,5,0,2,42,1,Senior
171,37,14800,6,8,9,35,0,Middle-aged
175,21,19362,3,3,3,32,0,Young
152,29,16223,0,4,3,54,1,Young
157,34,18392,5,2,5,45,0,Middle-aged
163,49,8667,6,3,3,48,1,Middle-aged
173,63,7246,3,8,5,86,1,Senior
167,77,8626,5,6,1,85,1,Senior
164,36,17263,8,7,3,92,1,Middle-aged
171,23,7822,3,2,1,49,1,Young
172,26,13283,9,2,7,34,0,Young
151,60,5850,3,6,8,16,1,Senior
180,50,19270,9,7,6,11,1,Middle-aged
176,70,6107,4,4,5,97,1,Senior
159,79,5299,2,0,7,19,1,Senior
151,78,13102,9,2,3,92,1,Senior
175,74,15535,1,4,9,29,0,Senior
166,58,19982,8,2,1,54,1,Senior
157,74,14669,0,0,3,53,1,Senior
150,53,10400,4,6,4,67,1,Senior
158,25,18288,4,0,8,82,0,Young
160,69,6082,7,9,4,82,1,Senior
171,57,16148,5,5,8,76,0,Senior
165,64,16110,5,5,8,82,0,Senior
156,77,13167,5,6,7,32,0,Senior
178,70,14557,3,0,4,83,1,Senior
159,53,7800,0,2,1,56,1,Senior
172,63,16728,2,8,4,63,1,Senior
175,34,8951,9,1,0,4,0,Middle-aged
152,33,19677,10,4,7,11,1,Middle-aged
167,25,15301,5,2,1,3,1,Young
174,69,13967,4,4,6,27,0,Senior
173,56,11768,9,6,1,80,1,Senior
162,69,6452,0,0,4,44,0,Senior
177,51,6681,4,2,9,18,1,Senior
175,22,19039,1,5,6,30,1,Young
156,22,7303,0,6,5,88,0,Young
174,41,12157,3,9,4,70,0,Middle-aged
153,41,6851,5,2,5,47,0,Middle-aged
162,29,6897,6,3,1,34,0,Young
169,70,10825,8,5,9,76,1,Senior
150,22,16610,4,4,0,42,0,Young
157,80,16789,7,8,0,23,1,Senior
163,31,14519,7,0,7,40,1,Middle-aged
165,48,13806,10,4,2,15,1,Middle-aged
163,67,5244,8,0,2,80,1,Senior
161,36,13948,2,7,8,57,0,Middle-aged
168,26,14015,2,6,5,14,0,Young
172,32,16019,8,4,3,79,1,Middle-aged
164,75,8807,6,5,3,12,1,Senior
177,21,7779,3,3,6,35,1,Young
151,23,6846,0,8,5,25,0,Young
151,29,18723,6,2,1,78,1,Young
172,58,12021,9,1,8,2,1,Senior
180,43,14432,5,6,1,18,1,Middle-aged
171,36,17803,2,1,7,35,0,Middle-aged
168,71,5473,4,5,3,9,0,Senior
174,25,9131,2,7,9,11,1,Young
175,38,16441,7,2,0,90,1,Middle-aged
180,24,18698,4,2,0,67,1,Young
179,51,6792,9,2,8,69,1,Senior
178,29,6734,9,0,3,96,1,Young
171,28,18117,5,8,0,74,1,Young
175,46,12215,1,4,2,38,1,Middle-aged
175,32,12229,7,8,2,70,1,Middle-aged
171,38,10188,8,4,6,75,0,Middle-aged
166,40,17134,2,6,5,81,1,Middle-aged
169,43,19701,5,0,7,59,1,Middle-aged
159,57,10281,5,8,6,66,0,Senior
155,23,10858,1,0,0,41,1,Young
164,43,5944,9,3,2,24,0,Middle-aged
171,78,6511,7,6,8,50,0,Senior
160,54,9081,4,8,3,5,0,Senior
177,22,17718,10,0,2,21,1,Young
154,23,11118,10,5,4,6,0,Young
150,76,5858,7,9,7,4,0,Senior
157,56,8560,7,4,0,9,0,Senior
170,59,13421,2,2,1,69,0,Senior
177,67,15609,4,9,6,68,0,Senior
161,73,13369,6,1,0,9,0,Senior
161,54,17120,4,0,4,18,0,Senior
154,50,18721,5,1,9,59,0,Middle-aged
156,75,7615,1,3,7,43,1,Senior
153,63,6613,7,5,5,80,0,Senior
155,44,7840,4,4,2,66,0,Middle-aged
162,59,19051,5,3,6,29,0,Senior
169,32,16139,0,7,2,48,0,Middle-aged
179,23,6774,9,6,4,51,1,Young
164,65,18262,1,3,6,42,0,Senior
152,33,8871,10,9,1,36,1,Middle-aged
172,32,13273,3,4,9,76,0,Middle-aged
157,46,5845,10,9,3,45,0,Middle-aged
169,25,16001,8,4,1,98,1,Young
165,36,14408,5,2,6,35,1,Middle-aged
162,55,17905,7,8,2,6,0,Senior
167,59,8260,1,4,8,37,0,Senior
177,68,8145,9,9,5,36,1,Senior
159,54,12802,4,1,0,84,1,Senior
179,36,7263,0,3,9,16,1,Middle-aged
168,60,15529,3,3,7,72,0,Senior
166,21,13636,9,4,6,22,0,Young
173,76,13155,0,7,0,69,1,Senior
180,32,5922,10,4,2,69,0,Middle-aged
168,71,11695,10,0,2,63,0,Senior
177,21,9288,8,1,2,75,0,Young
175,71,10758,1,2,6,19,0,Senior
172,47,17576,6,2,5,81,1,Middle-aged
175,62,13131,2,9,1,18,0,Senior
154,78,7630,1,5,4,73,1,Senior
175,45,12816,3,8,5,17,1,Middle-aged
170,41,14359,6,9,1,41,1,Middle-aged
179,66,12556,6,0,0,33,0,Senior
172,62,17155,8,5,3,84,1,Senior
180,74,18718,2,8,3,55,1,Senior
158,22,10930,6,3,3,82,0,Young
161,54,16633,5,9,0,24,0,Senior
170,79,12000,9,2,2,77,1,Senior
150,77,8512,6,5,6,40,1,Senior
175,31,11066,6,5,3,28,0,Middle-aged
175,43,14087,9,1,1,67,1,Middle-aged
150,24,18207,4,4,7,75,0,Young
164,39,8722,8,0,0,39,1,Middle-aged
151,58,19899,6,8,8,21,1,Senior
179,58,19322,6,8,4,37,0,Senior
171,32,10648,2,2,1,2,0,Middle-aged
165,60,18988,0,4,3,6,0,Senior
174,76,7060,4,2,2,52,1,Senior
157,72,19013,7,6,6,5,1,Senior
162,64,8034,4,0,5,47,1,Senior
170,31,7387,9,4,8,43,0,Middle-aged
150,32,12008,2,5,3,96,0,Middle-aged
165,75,15089,8,6,2,40,1,Senior
178,29,13031,1,2,6,11,0,Young
156,52,6799,2,6,5,81,0,Senior
180,76,9407,3,3,4,14,0,Senior
154,59,7780,9,9,9,2,1,Senior
171,73,6127,0,5,6,39,0,Senior
178,35,13530,10,4,4,63,0,Middle-aged
172,64,12365,3,3,8,63,1,Senior
152,54,19635,3,5,3,18,1,Senior
161,22,12611,8,2,0,97,0,Young
175,75,17646,7,2,9,94,0,Senior
165,24,12535,1,4,4,79,1,Young
168,45,19504,6,4,0,93,1,Middle-aged
154,30,14364,5,8,0,90,0,Young
171,26,7808,6,3,0,1,0,Young
174,72,18055,10,4,0,17,0,Senior
178,75,16221,3,8,7,54,0,Senior
163,29,15281,4,3,1,39,0,Young
